Age_Group,Variable,HR,CI_Lower,CI_Upper,cat
Under 65,PFOA_scaled,0.8724671227040969,0.7740479443183752,0.9834001702179773,Basic adjusted
65 and over,PFOA_scaled,0.8217025617761499,0.761622067863564,0.8865225004883144,Basic adjusted
Under 65,PFOS_scaled,0.7696310539418867,0.6797300696065202,0.8714223272991092,Basic adjusted
65 and over,PFOS_scaled,0.8542386799352538,0.7754153387823814,0.9410746548338791,Basic adjusted
Under 65,PFHxS_scaled,0.9569218246112006,0.8405833023484829,1.089361846540232,Basic adjusted
65 and over,PFHxS_scaled,0.8638258654643117,0.7909615125297046,0.9434025727227073,Basic adjusted
Under 65,PFNA_scaled,0.9314638625960378,0.7953983891841537,1.0908054870619739,Basic adjusted
65 and over,PFNA_scaled,0.8742507103933829,0.8095750416173728,0.9440932159869748,Basic adjusted
Under 65,PFOA_scaled,0.9191546832517983,0.7507256473683798,1.1253716117269528,Interaction
65 and over,PFOA_scaled,0.820892406424312,0.7146273106361195,0.9429591241415939,Interaction
Under 65,PFOS_scaled,0.6104427694540979,0.46827835801762174,0.7957668092036109,Interaction
65 and over,PFOS_scaled,1.046601745848107,0.8978237126229908,1.2200337315798535,Interaction
Under 65,PFNA_scaled,1.1774331762591843,0.9556197887701017,1.4507327086016553,Interaction
65 and over,PFNA_scaled,0.9278792352617213,0.8279919387230944,1.0398167360875814,Interaction
Under 65,PFHxS_scaled,1.2046908931631277,1.0001547160898479,1.4510556464144095,Interaction
65 and over,PFHxS_scaled,0.9343441917183501,0.8266305239061803,1.0560934339474009,Interaction
