Gender_group,Variable,HR,CI_Lower,CI_Upper,cat
Male,PFOA_scaled,0.7990243351894425,0.7290892342962718,0.8756676936001704,Basic adjusted
Post-menopausal female,PFOA_scaled,0.8432200278460953,0.7434083995893072,0.9564325823511944,Basic adjusted
Pre-menopausal female,PFOA_scaled,1.4141317945484202,0.9094583373357281,2.198856891247034,Basic adjusted
Male,PFOS_scaled,0.7863665850582989,0.7118022705899565,0.8687418285189383,Basic adjusted
Post-menopausal female,PFOS_scaled,0.840998468830971,0.7418512038610373,0.9533966122787666,Basic adjusted
Pre-menopausal female,PFOS_scaled,1.20007526093862,0.6666855610465552,2.160209724140595,Basic adjusted
Male,PFHxS_scaled,0.8542519456788504,0.7749464598040814,0.9416732955726942,Basic adjusted
Post-menopausal female,PFHxS_scaled,0.9219977370714137,0.8224772942186689,1.0335602370304464,Basic adjusted
Pre-menopausal female,PFHxS_scaled,1.3341773458729205,0.985269887092958,1.806641219384561,Basic adjusted
Male,PFNA_scaled,0.8687478774138309,0.7831629090930391,0.9636856722250313,Basic adjusted
Post-menopausal female,PFNA_scaled,0.8842890213838275,0.7957201866170549,0.9827161438048243,Basic adjusted
Pre-menopausal female,PFNA_scaled,1.251933863788571,0.8071670635396032,1.9417769506444684,Basic adjusted
Male,PFOA_scaled,0.8490186892112579,0.7189087928933767,1.0026761972528986,Interaction
Pre-menopausal female,PFOA_scaled,1.3183830004345758,0.7114591155496184,2.443054980737898,Interaction
Post-menopausal female,PFOA_scaled,0.8754106762624378,0.7205928540941398,1.0634907739650465,Interaction
Male,PFOS_scaled,0.8269349982294253,0.6908027559872757,0.9898939825730738,Interaction
Pre-menopausal female,PFOS_scaled,0.7607927657681801,0.36683208017107544,1.5778490043053641,Interaction
Post-menopausal female,PFOS_scaled,0.9550948552909906,0.7507696713738244,1.2150280137636393,Interaction
Male,PFNA_scaled,1.0729278313284374,0.9176577355020406,1.2544700346358972,Interaction
Pre-menopausal female,PFNA_scaled,1.0757622669590565,0.6150301143104299,1.881638684164938,Interaction
Post-menopausal female,PFNA_scaled,0.9376709687367898,0.8157845620468115,1.077768428720692,Interaction
Male,PFHxS_scaled,1.0289010432123313,0.8927786941218755,1.1857780250509724,Interaction
Pre-menopausal female,PFHxS_scaled,1.299652666884814,0.964455495823985,1.751347845343268,Interaction
Post-menopausal female,PFHxS_scaled,1.0153849926533784,0.8810298974324283,1.1702289403689345,Interaction
