"","Overall","0","1"
"n","14876","12896"," 1980"
"PFOA (median [IQR])"," 2.67 [1.57, 4.40]"," 2.57 [1.50, 4.20]"," 3.49 [2.20, 5.20]"
"PFOS (median [IQR])","10.10 [5.00, 19.40]"," 9.20 [4.70, 17.70]","18.10 [9.63, 30.72]"
"PFNA (median [IQR])"," 0.83 [0.50, 1.39]"," 0.82 [0.50, 1.34]"," 0.90 [0.50, 1.48]"
"PFHxS (median [IQR])"," 1.50 [0.80, 2.60]"," 1.40 [0.80, 2.55]"," 1.80 [1.10, 3.10]"
"Year","     ","     ","     "
"   1999-00"," 1078","  758","  320"
"   2003-04"," 1626"," 1231","  395"
"   2005-06"," 1657"," 1343","  314"
"   2007-08"," 1832"," 1512","  320"
"   2009-10"," 1945"," 1713","  232"
"   2011-12"," 1646"," 1497","  149"
"   2013-14"," 1695"," 1559","  136"
"   2015-16"," 1707"," 1630","   77"
"   2017-18"," 1690"," 1653","   37"
"Age (mean (SD))","47.82 (19.25)","44.48 (17.78)","69.56 (13.39)"
"Gender = Female"," 7670"," 6819","  851"
"Ethnicity","     ","     ","     "
"   Non-Hispanic White"," 6337"," 5144"," 1193"
"   Hispanic"," 4005"," 3673","  332"
"   Non-Hispanic Black"," 3105"," 2738","  367"
"   Other Race - Including Multi-Racial"," 1429"," 1341","   88"
"EducationHighest","     ","     ","     "
"   Some High School Or Below"," 4149"," 3354","  795"
"   High School/Ged Or Equivalent"," 3500"," 3022","  478"
"   Some College Or Aa Degree"," 4245"," 3813","  432"
"   College Graduate Or Above"," 2958"," 2691","  267"
"   NA","   24","   16","    8"
"Povertytoincomeratio (mean (SD))"," 2.46 (1.61)"," 2.51 (1.64)"," 2.17 (1.39)"
"Occupation2","     ","     ","     "
"   Not employed"," 1842"," 1752","   90"
"   Disabled"," 1259","  940","  319"
"   Domestic caregiver"," 1065","  998","   67"
"   Employed"," 7856"," 7514","  342"
"   Retired"," 2845"," 1684"," 1161"
"   NA","    9","    8","    1"
"Diabetes","     ","     ","     "
"   No","12831","11388"," 1443"
"   Yes"," 1731"," 1261","  470"
"   Borderline","  302","  239","   63"
"   NA","   12","    8","    4"
"BMI_class","     ","     ","     "
"   Normal weight"," 4513"," 3914","  599"
"   Obese"," 5350"," 4703","  647"
"   Overweight"," 4815"," 4167","  648"
"   NA","  198","  112","   86"
"Hypertension","     ","     ","     "
"   No"," 9848"," 9058","  790"
"   Yes"," 4979"," 3800"," 1179"
"   NA","   49","   38","   11"
"ChronicKidneyDisease","     ","     ","     "
"   No","13744","12300"," 1444"
"   Yes"," 1111","  577","  534"
"   NA","   21","   19","    2"
"Hyperlipidemia","     ","     ","     "
"   No"," 8814"," 7716"," 1098"
"   Yes"," 6056"," 5174","  882"
"   NA","    6","    6","    0"
