"","Overall","0","1"
"n","196640082.25","178592632.22","18047450.03"
"PFOA (median [IQR])","        2.67 [1.57, 4.40]","        2.60 [1.57, 4.30]","       3.50 [2.14, 5.28]"
"PFOS (median [IQR])","        9.20 [4.73, 17.50]","        8.70 [4.60, 16.40]","      15.90 [8.02, 28.86]"
"PFNA (median [IQR])","        0.86 [0.50, 1.39]","        0.82 [0.50, 1.31]","       0.93 [0.60, 1.50]"
"PFHxS (median [IQR])","        1.50 [0.90, 2.60]","        1.50 [0.80, 2.60]","       1.80 [1.10, 3.10]"
"Year (%)","            ","            ","           "
"   1999-00","         2.3","         2.0","        5.3"
"   2003-04","        11.1","        10.1","       20.7"
"   2005-06","        11.8","        11.0","       19.3"
"   2007-08","        11.9","        11.4","       16.3"
"   2009-10","        12.0","        11.9","       12.6"
"   2011-12","        11.9","        12.1","       10.4"
"   2013-14","        13.0","        13.5","        9.0"
"   2015-16","        12.9","        13.8","        4.1"
"   2017-18","        13.2","        14.3","        2.3"
"Age (mean (SD))","       46.30 (17.51)","       44.19 (16.38)","      67.19 (14.34)"
"Gender = Female (%)","        51.5","        52.1","       46.4"
"Ethnicity (%)","            ","            ","           "
"   Non-Hispanic White","        67.8","        66.6","       79.2"
"   Hispanic","        14.2","        15.1","        5.4"
"   Non-Hispanic Black","        10.9","        10.9","       10.3"
"   Other Race - Including Multi-Racial","         7.1","         7.3","        5.1"
"EducationHighest (%)","            ","            ","           "
"   Some High School Or Below","        17.3","        16.1","       29.8"
"   High School/Ged Or Equivalent","        24.0","        23.6","       27.7"
"   Some College Or Aa Degree","        31.1","        31.7","       25.7"
"   College Graduate Or Above","        27.4","        28.5","       16.5"
"   NA","         0.1","         0.1","        0.3"
"Povertytoincomeratio (mean (SD))","        2.97 (1.64)","        3.03 (1.65)","       2.43 (1.45)"
"Occupation2 (%)","            ","            ","           "
"   Not employed","        10.9","        11.5","        5.1"
"   Disabled","         6.7","         5.7","       17.0"
"   Domestic caregiver","         6.2","         6.6","        2.9"
"   Employed","        60.6","        64.4","       22.7"
"   Retired","        15.5","        11.8","       52.3"
"   NA","         0.0","         0.0","        0.0"
"Diabetes (%)","            ","            ","           "
"   No","        88.9","        90.3","       74.8"
"   Yes","         9.2","         7.9","       21.7"
"   Borderline","         1.9","         1.7","        3.3"
"   NA","         0.1","         0.1","        0.1"
"BMI_class (%)","            ","            ","           "
"   Normal weight","        31.0","        31.0","       31.2"
"   Obese","        35.2","        35.4","       33.9"
"   Overweight","        32.8","        32.9","       30.8"
"   NA","         1.0","         0.7","        4.2"
"Hypertension (%)","            ","            ","           "
"   No","        69.3","        72.2","       40.7"
"   Yes","        30.5","        27.7","       58.9"
"   NA","         0.2","         0.2","        0.4"
"ChronicKidneyDisease (%)","            ","            ","           "
"   No","        94.4","        96.3","       75.1"
"   Yes","         5.5","         3.5","       24.8"
"   NA","         0.1","         0.1","        0.1"
"Hyperlipidemia (%)","            ","            ","           "
"   No","        58.6","        58.9","       56.2"
"   Yes","        41.3","        41.1","       43.8"
"   NA","         0.1","         0.1","        0.0"
